,timestamp,name,value,meta.description,meta.host,meta.job,meta.missing,meta.node,meta.plugin,meta.sensor,meta.task,meta.units,meta.vsn,meta.zone,meta.applicationId,meta.applicationName,meta.devAddr,meta.devEui,meta.deviceName,meta.deviceProfileId,meta.deviceProfileName,meta.serial_number_tag,meta.tenantId,meta.tenantName,meta.channel,meta.image_frac,meta.input,meta.nsegments_asked,meta.nsegments_found,meta.quality,meta.seg_id,meta.seg_rank,meta.seg_size,meta.name,meta.camera,meta.gatewayId,meta.type,meta.cpu,meta.mode,meta.device,meta.fstype,meta.mountpoint,meta.chip,meta.server,meta.severity,meta.filename,meta.loop_num,meta.position
217,2024-08-07 15:26:35.954694359+00:00,cmv.mean.dir.degn,156.65733337402344,,0000e45f0198f3d7.ws-rpi,cloud-motion-v1-368,,000048b02d3ae27a,registry.sagecontinuum.org/bhupendraraut/cloud-motion:1.23.07.12,,cloud-motion-v1,,W020,shield,,,,,,,,,,,0,0.9,top_camera,100,78,2,48,9,44830,,,,,,,,,,,,,,,
10520,2024-08-07 16:05:03.795598126+00:00,sys.cpu_seconds,73268.17,,00004cd98fc67734.sb-core,,,00004cd98fc67734,,,,,V004,,,,,,,,,,,,,,,,,,,,,,,,,13,idle,,,,,,,,,
14653,2024-08-07 16:06:21.215891834+00:00,sys.cpu_seconds,0,,00004cd98fc67b75.sb-core,,,00004cd98fc67b75,,,,,V002,,,,,,,,,,,,,,,,,,,,,,,,,4,steal,,,,,,,,,
26742,2024-08-07 16:05:49.766555956+00:00,sys.mem.mlocked,0,,00002cea7f59e91f.sb-core,,,00002cea7f59e91f,,,,,V014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2024-08-07 15:31:04.258064938+00:00,cmv.mean.dir.degn,262.3638916015625,,0000e45f0198f3d7.ws-rpi,cloud-motion-v1-368,,000048b02d3ae27a,registry.sagecontinuum.org/bhupendraraut/cloud-motion:1.23.07.12,,cloud-motion-v1,,W020,shield,,,,,,,,,,,0,0.9,top_camera,100,82,2,31,14,33210,,,,,,,,,,,,,,,
39312,2024-08-07 15:30:59.526607616+00:00,sys.sanity_status.rpi_raingauge,0,,000048b02dd3c5e0.ws-nxcore,,,000048b02dd3c5e0,,,,,W0B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatal,,,
21046,2024-08-07 16:06:04.912287094+00:00,sys.fs.size,29540511744,,0000dca632ed7151.ws-rpi,,,000048b02d3ae2f5,,,,,W08B,,,,,,,,,,,,,,,,,,,,,,,,,,,/dev/mmcblk0p3,ext4,/media/plugin-data,,,,,,
13223,2024-08-07 16:05:03.241803176+00:00,sys.cpu_seconds,14246.74,,000048b02dd3c5e3.ws-nxagent,,,000048b02dd3c551,,,,,W0B2,,,,,,,,,,,,,,,,,,,,,,,,,3,user,,,,,,,,,
15699,2024-08-07 16:06:21.215891834+00:00,sys.cpu_seconds,1737.89,,00004cd98fc67b75.sb-core,,,00004cd98fc67b75,,,,,V002,,,,,,,,,,,,,,,,,,,,,,,,,6,nice,,,,,,,,,
18026,2024-08-07 16:06:27.526952559+00:00,sys.freq.cpu_max,1420800000,,000048b02d3af447.ws-nxcore,,,000048b02d3af447,,,,,W07E,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
15721,2024-08-07 16:05:29.077136391+00:00,sys.cpu_seconds,178.2,,00002cea7f456745.sb-core,,,00002cea7f456745,,,,,V054,,,,,,,,,,,,,,,,,,,,,,,,,7,iowait,,,,,,,,,
26250,2024-08-07 16:05:22.681580833+00:00,sys.mem.inactive.file,1209192448,,000048b02d15bc7d.ws-nxcore,,,000048b02d15bc7d,,,,,W028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27666,2024-08-07 16:06:40.204647064+00:00,sys.mem.sreclaimable,504623104,,000048b02d3ae337.ws-nxcore,,,000048b02d3ae337,,,,,W067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5546,2024-08-07 16:06:18.022749066+00:00,sys.cooling_max,0,,00002cea7f5e6450.sb-core,,,00002cea7f5e6450,,,,,V051,,,,,,,,,,,,,,,,,,,,,1,,,Processor,,,,,,,,,,,
30561,2024-08-07 16:06:30.879261261+00:00,sys.net.rx_bytes,2040135954,,000048b02d3af45d.ws-nxcore,,,000048b02d3af45d,,,,,W068,,,,,,,,,,,,,,,,,,,,,,,,,,,lo,,,,,,,,
