DateTime,radW/m2
2024-01-08 22:00:00,0.00
2024-01-08 22:15:00,0.00
2024-01-08 22:30:00,0.00
2024-01-08 22:45:00,0.00
2024-01-08 23:00:00,0.00
2024-01-08 23:15:00,0.00
2024-01-08 23:30:00,0.00
2024-01-08 23:45:00,0.00
2024-01-09 00:00:00,0.00
2024-01-09 00:15:00,0.00
2024-01-09 00:30:00,0.00
2024-01-09 00:45:00,0.00
2024-01-09 01:00:00,0.00
2024-01-09 01:15:00,0.00
2024-01-09 01:30:00,0.00
2024-01-09 01:45:00,0.00
2024-01-09 02:00:00,0.00
2024-01-09 02:15:00,0.00
2024-01-09 02:30:00,0.00
2024-01-09 02:45:00,0.00
2024-01-09 03:00:00,0.00
2024-01-09 03:15:00,0.00
2024-01-09 03:30:00,0.00
2024-01-09 03:45:00,0.00
2024-01-09 04:00:00,0.00
2024-01-09 04:15:00,0.00
2024-01-09 04:30:00,0.00
2024-01-09 04:45:00,0.00
2024-01-09 05:00:00,0.00
2024-01-09 05:15:00,0.00
2024-01-09 05:30:00,0.00
2024-01-09 05:45:00,0.00
2024-01-09 06:00:00,0.00
2024-01-09 06:15:00,0.00
2024-01-09 06:30:00,0.00
2024-01-09 06:45:00,0.00
2024-01-09 07:00:00,0.00
2024-01-09 07:15:00,0.13
2024-01-09 07:30:00,0.83
2024-01-09 07:45:00,3.36
2024-01-09 08:00:00,7.64
2024-01-09 08:15:00,9.57
2024-01-09 08:30:00,8.74
2024-01-09 08:45:00,10.16
2024-01-09 09:00:00,13.01
2024-01-09 09:15:00,17.08
2024-01-09 09:30:00,23.70
2024-01-09 09:45:00,28.13
2024-01-09 10:00:00,40.88
2024-01-09 10:15:00,48.33
2024-01-09 10:30:00,62.49
2024-01-09 10:45:00,59.86
2024-01-09 11:00:00,38.26
2024-01-09 11:15:00,35.98
2024-01-09 11:30:00,43.49
2024-01-09 11:45:00,56.17
2024-01-09 12:00:00,51.59
2024-01-09 12:15:00,55.11
2024-01-09 12:30:00,53.77
2024-01-09 12:45:00,40.06
2024-01-09 13:00:00,39.39
2024-01-09 13:15:00,45.62
2024-01-09 13:30:00,35.64
2024-01-09 13:45:00,25.09
2024-01-09 14:00:00,19.27
2024-01-09 14:15:00,16.73
2024-01-09 14:30:00,17.72
2024-01-09 14:45:00,20.77
2024-01-09 15:00:00,25.82
2024-01-09 15:15:00,21.86
2024-01-09 15:30:00,18.08
2024-01-09 15:45:00,12.73
2024-01-09 16:00:00,10.64
2024-01-09 16:15:00,11.60
2024-01-09 16:30:00,5.52
2024-01-09 16:45:00,1.22
2024-01-09 17:00:00,0.15
2024-01-09 17:15:00,0.00
2024-01-09 17:30:00,0.00
2024-01-09 17:45:00,0.00
2024-01-09 18:00:00,0.00
2024-01-09 18:15:00,0.00
2024-01-09 18:30:00,0.00
